year,month,day,hour,minute,sensor_index,pm2.5_alt,humidity,temperature
2023,10,21,2,30,155565,3.9199999999999995,49.06666666666667,71.93333333333334
2023,10,21,3,0,155565,3.713333333333334,50.266666666666666,70.8
2023,10,21,3,30,155565,3.453333333333333,51.93333333333333,69.66666666666667
2023,10,21,4,0,155565,3.0333333333333337,52.86666666666667,69.0
2023,10,21,4,30,155565,2.5,53.333333333333336,68.66666666666667
2023,10,21,5,0,155565,1.9800000000000002,53.86666666666667,68.0
2023,10,21,5,30,155565,1.6933333333333331,54.0,67.86666666666666
2023,10,21,6,0,155565,1.5533333333333332,54.333333333333336,67.26666666666667
2023,10,21,6,30,155565,1.46,54.06666666666667,67.06666666666666
2023,10,21,7,0,155565,1.366666666666667,53.333333333333336,67.86666666666666
2023,10,21,7,30,155565,1.2733333333333332,53.0,67.93333333333334
2023,10,21,8,0,155565,1.2133333333333332,53.06666666666667,67.53333333333333
2023,10,21,8,30,155565,1.2199999999999998,52.6,68.0
2023,10,21,9,0,155565,1.2133333333333334,51.4,68.93333333333334
2023,10,21,9,30,155565,1.2666666666666666,49.0,70.2
2023,10,21,10,0,155565,1.593333333333333,45.8,72.66666666666667
2023,10,21,10,30,155565,1.973333333333333,39.53333333333333,77.93333333333334
2023,10,21,11,0,155565,2.3733333333333335,35.0,81.86666666666666
2023,10,21,11,30,155565,3.486666666666667,34.8,81.13333333333334
2023,10,21,12,0,155565,4.453333333333334,36.0,80.26666666666667
2023,10,21,12,30,155565,5.333333333333332,34.86666666666667,81.66666666666667
2023,10,21,13,0,155565,6.5666666666666655,34.0,82.6
2023,10,21,13,30,155565,6.4399999999999995,32.8,83.8
2023,10,21,14,0,155565,5.633333333333335,29.4,88.46666666666667
2023,10,21,14,30,155565,4.513333333333334,25.266666666666666,93.66666666666667
2023,10,21,15,0,155565,3.386666666666666,24.666666666666668,94.4
2023,10,21,15,30,155565,2.413333333333333,27.2,90.46666666666667
2023,10,21,16,0,155565,1.7533333333333334,26.6,91.86666666666666
2023,10,21,16,30,155565,1.6533333333333333,27.6,90.13333333333334
2023,10,21,17,0,155565,1.5866666666666667,28.4,89.4
2023,10,21,17,30,155565,1.4333333333333333,32.13333333333333,85.26666666666667
2023,10,21,18,0,155565,1.3600000000000003,34.53333333333333,83.06666666666666
2023,10,21,18,30,155565,1.3000000000000003,36.733333333333334,80.86666666666666
2023,10,21,19,0,155565,1.3000000000000003,38.93333333333333,79.0
2023,10,21,19,30,155565,1.4,40.333333333333336,77.86666666666666
2023,10,21,20,0,155565,1.6333333333333333,41.93333333333333,76.2
2023,10,21,20,30,155565,1.6200000000000003,44.2,74.26666666666667
2023,10,21,21,0,155565,1.4733333333333332,46.06666666666667,73.0
2023,10,21,21,30,155565,1.4133333333333336,47.0,72.8
2023,10,21,22,0,155565,1.2933333333333334,47.333333333333336,72.26666666666667
2023,10,21,22,30,155565,1.1866666666666665,48.8,71.06666666666666
2023,10,21,23,0,155565,1.0866666666666664,49.2,70.66666666666667
2023,10,21,23,30,155565,1.1199999999999999,49.8,70.4
2023,10,22,0,0,155565,1.1466666666666667,50.333333333333336,69.66666666666667
2023,10,22,0,30,155565,1.2333333333333336,51.46666666666667,68.66666666666667
2023,10,22,1,0,155565,1.16,51.333333333333336,68.6
2023,10,22,1,30,155565,1.1933333333333331,51.8,68.13333333333334
2023,10,22,2,0,155565,1.3133333333333332,51.733333333333334,68.33333333333333
2023,10,22,2,30,155565,1.4533333333333331,51.733333333333334,67.73333333333333
2023,10,22,3,0,155565,1.4800000000000002,53.333333333333336,67.06666666666666
2023,10,22,3,30,155565,1.6799999999999997,54.06666666666667,66.4
2023,10,22,4,0,155565,1.8199999999999998,54.4,66.33333333333333
2023,10,22,4,30,155565,1.9533333333333331,52.733333333333334,66.53333333333333
2023,10,22,5,0,155565,2.8133333333333335,52.8,66.06666666666666
2023,10,22,5,30,155565,2.586666666666667,52.666666666666664,66.4
2023,10,22,6,0,155565,3.3466666666666662,55.06666666666667,64.86666666666666
2023,10,22,6,30,155565,2.8066666666666666,53.666666666666664,66.33333333333333
2023,10,22,7,0,155565,2.6533333333333338,52.06666666666667,67.0
2023,10,22,7,30,155565,2.986666666666667,52.0,67.86666666666666
2023,10,22,8,0,155565,4.8933333333333335,51.666666666666664,68.93333333333334
